singlish,english
"Eh, you remember to pay your road tax or not?","Hey, did you remember to pay your road tax?"
"My car COE expiring soon, need to go LTA settle.",My car's Certificate of Entitlement is expiring soon; I need to go to the Land Transport Authority to settle it.
"Aiyah, my in-car camera spoil already, need to go fix.","Oh dear, my in-car camera is broken; I need to get it fixed."
You see the LTA officer there not? Better slow down your car.,Do you see the Land Transport Authority officer over there? You'd better slow down your car.
"This morning the MCE got accident, that's why I late.",There was an accident on the Marina Coastal Expressway this morning; that's why I was late.
"Eh, later we go jalan jalan around the park ah?","Hey, shall we go for a walk around the park later?"
"Wah, the weather so hot, walk also can sweat buckets.","Wow, the weather is so hot that you can sweat profusely just by walking."
"You faster walk lah, if not we going to be late already.","Please walk faster, otherwise we are going to be late."
"Last night I walk back home, then I saw a stray cat at the void deck.","Last night, as I was walking home, I saw a stray cat at the ground floor communal space."
"Eh, you want to join me for a walk at the park connector or not?","Hey, do you want to join me for a walk along the park connector?"
"I think I need to walk more, exercise a bit, keep healthy you know?","I think I need to walk more and exercise to maintain my health, you know?"
"My mother always say, walk after meal good for digestion one.",My mother always says that walking after a meal is good for digestion.
"This morning I walk to the MRT station, then the train broke down, sian.","This morning, I walked to the MRT station, and then the train broke down, which was frustrating."
"If you walk from here, you can reach the hawker centre in ten minutes, very near one.","If you walk from here, you can reach the hawker center in ten minutes; it's very close."
"Don't always take bus lah, sometimes walk a bit also good what.",Don't always take the bus; sometimes it's also good to walk a bit.
"Eh, you already shower or not?","Hey, have you taken a shower yet?"
"Later then I go bathe, now quite shiok just lepak one corner.","I'll take a bath later, right now it's quite nice just relaxing in one corner."
"Oi, faster go bathe lah, later no hot water already.","Hurry up and take a shower, or there won't be any hot water left later."
You bathe so long for what? Other people also need to use the bathroom leh.,Why are you taking such a long shower? Other people need to use the bathroom too.
"I every morning must bathe, if not whole day feel very uncomfortable.","I need to take a shower every morning, otherwise I'll feel uncomfortable all day."
"Wah, after exercise, bathe really shiok sia.","Wow, taking a shower after exercising feels really great."
"Don't forget to bathe hor, you play soccer come back all sweaty already.","Don't forget to take a shower, you've come back all sweaty from playing soccer."
"My brother, every time bathe must sing one, like free concert like that.","My brother always sings when he showers, it's like a free concert."
"Eh, you use what soap to bathe? I want to try also, smell quite nice eh.","Hey, what soap do you use for bathing? I want to try it too, it smells quite nice."
"Last time bathe in the rain was when I still a small kid, now cannot already lah.","The last time I bathed in the rain was when I was a little kid, I can't do that anymore."
"Eh, I overslept, now how? Cannot be late for work leh.","Oh no, I overslept. What should I do? I can't be late for work."
"Tomorrow must wake up early, got meeting at work.",I need to wake up early tomorrow because I have a meeting at work.
"The MRT so packed in the morning, go work also stressful.",The subway is so crowded in the morning; even going to work is stressful.
"Lunch time we go makan outside, office food quite sian already.",Let's eat out for lunch; the office food has become quite boring.
"Eh, you want to cab together go work or not?","Hey, do you want to share a taxi to go to work?"
"My boss always last minute ask me do things, very jialat.",My boss always asks me to do things at the last minute; it's very troublesome.
"I think I'll work from home tomorrow, the weather forecast say will rain heavily.",I think I'll work from home tomorrow since the weather forecast predicts heavy rain.
"Aiyah, forgot to bring my access card, now must wait for someone to open the door.","Oh dear, I forgot to bring my access card; now I have to wait for someone to open the door."
You finish your work already ah? So fast one.,Have you finished your work already? That was quick.
"Today work until so late, sibei tired already lah.",I worked until very late today; I'm extremely tired.
"Eh, you heard the new song on the radio not?","Hey, have you heard the new song on the radio?"
"Last time, we always listen to cassette tapes one, now all streaming already.","In the past, we always listened to cassette tapes, but now everything is streamed online."
"I like to listen to music when I'm on the MRT, makes the ride more shiok.",I enjoy listening to music while I'm on the MRT; it makes the ride more pleasurable.
"My playlist got a lot of old school hits, very nice to chill and listen.",My playlist has a lot of old school hits; it's very nice to relax and listen to.
"You go karaoke not? Next time we go together, sing until shiok!",Do you go to karaoke? Next time let's go together and have a great time singing!
"Eh, your earpiece spoil is it? I can hear your music from here leh.","Hey, is your earpiece broken? I can hear your music from here."
"I just download a few new songs into my phone, later I send you okay?","I just downloaded a few new songs onto my phone; I'll send them to you later, okay?"
"Wah, this live band at the cafe quite power sia, their music very nice.","Wow, this live band at the cafe is quite impressive; their music is very nice."
You know where to find good music not? I sian of my current playlist already.,Do you know where to find good music? I'm tired of my current playlist.
"Last night I couldn't sleep, so I just listen to some calming music lor.","Last night I couldn't sleep, so I just listened to some calming music."
"Eh, later you want to watch TV together or not?","Hey, do you want to watch TV together later?"
"Last night the show very nice leh, I stay up to watch.","The show last night was really good, I stayed up to watch it."
"I heard the new drama quite interesting, maybe we can catch it at 9pm.",I've heard the new drama is quite interesting; perhaps we can watch it at 9pm.
"Wah, the football match yesterday night was so exciting, I scream until my neighbour also can hear.","Wow, the football match last night was so exciting, I was screaming so loud that even my neighbour could hear me."
"Eh, you record the show for me already or not?","Hey, have you recorded the show for me yet?"
"I think the TV spoil already, cannot turn on leh.",I think the TV is broken; it won't turn on.
"My favourite series is coming out with a new season, so happy can die!",My favourite series is releasing a new season; I'm extremely happy!
You watch the news not? Got a lot of important things happening now.,Have you watched the news? There are a lot of important events happening now.
"Tonight got new episode of the cooking show, I always watch one.",There's a new episode of the cooking show tonight; I always watch it.
"Eh, don't disturb me, I'm watching my Korean drama.","Hey, don't disturb me; I'm watching my Korean drama."
"Eh, later you want to play game not?","Hey, do you want to play video games later?"
I every night also play until very late one.,I play every night until very late.
"You play until so pro, teach me can or not?","You've become so skilled, can you teach me?"
"Wah, your character skin quite chio leh.","Wow, your character's skin looks pretty cool."
"I yesterday just buy this game, but haven't try out yet.","I just bought this game yesterday, but I haven't tried it out yet."
"Eh, don't disturb me, I concentrating on my game.","Hey, don't disturb me, I'm focusing on my game."
You all want to come my house play together or not?,Do you all want to come over to my place to play together?
"Last night I play until I forgot to eat dinner, sia.","Last night, I played until I forgot to have dinner."
My mother scold me because I play game and never do homework.,My mother scolded me because I was playing video games and didn't do my homework.
"This weekend got gaming competition, you joining anot?","There's a gaming competition this weekend, are you joining?"
"Eh, how come my computer cannot start one ah?","Hey, why isn't my computer starting?"
"I think I kena virus, now my files all cannot open leh.","I think my computer got a virus, now I can't open any files."
"Wah, your new laptop so fast sia!","Wow, your new laptop is so fast!"
Later you teach me how to use this software can or not?,Can you teach me how to use this software later?
"My computer hang liao, need to restart already.","My computer has frozen, I need to restart it."
"Eh, you save your work already anot? Later computer auto update then you know.","Hey, have you saved your work? The computer might auto-update soon."
"I just upgrade my PC, now can play games very smooth.","I've just upgraded my PC, now I can play games very smoothly."
"Aiyah, I forgot to charge my laptop, now cannot use liao.","Oh no, I forgot to charge my laptop, now I can't use it."
You know where got cheap and good monitor not?,Do you know where I can find an affordable and good monitor?
"My mouse spoil liao, need to buy new one.","My mouse is broken, I need to buy a new one."
"Eh, later you free to text or not?","Hey, are you free to text later?"
"I text you already, you never reply leh.","I've texted you, but you haven't replied yet."
Can help me text him or not? My phone no battery already.,Can you text him for me? My phone's battery is dead.
"Wait ah, I replying another message first.","Hold on, I'm responding to another message first."
You at where? I send you the location but you never say anything.,Where are you? I sent you the location but you didn't respond.
Tonight still on for the movie? If not I text the others cancel.,"Are we still on for the movie tonight? If not, I'll text the others to cancel."
"Eh, don't like that lah, reply my text also so long.","Hey, don't be like that, it takes you so long to reply to my text."
"I saw your text, but I was in a meeting just now, so couldn't reply.","I saw your text, but I was in a meeting and couldn't reply."
You text me the details already or still haven't?,Have you texted me the details yet or not?
Later when you free then you text me back can?,Can you text me back when you're free later?
"Eh, later you free not? Go lim kopi together leh.","Hey, are you free later? Let's go have coffee together."
"We long time no catch up already, go makan outside lah.","We haven't caught up in a long time, let's go eat out."
Tonight you want to join us not? We all go jalan jalan at Orchard.,Do you want to join us tonight? We're going to take a walk around Orchard.
"Wah, this place sibei crowded, how to find seat sia?","Wow, this place is extremely crowded, how are we going to find a seat?"
"You all where got plan later? If nothing, maybe can go watch movie.","Do you guys have any plans later? If not, maybe we can go watch a movie."
"Eh, don't like that lah, give chance a bit can or not?","Hey, don't be like that, can you be a little more considerate?"
"Last time we go karaoke, very shiok you know! We should go again.","The last time we went to karaoke, it was really enjoyable! We should do it again."
You heard about the new cafe opening not? The food there looks quite power leh.,Have you heard about the new cafe opening? The food there looks quite impressive.
"Eh, your birthday coming, we plan surprise for you okay?","Hey, your birthday is coming up, we'll plan a surprise for you, okay?"
This weekend you jio me go where? I follow you lah.,Where are you inviting me to go this weekend? I'll follow you.
"Eh, you try meditating before not?","Hey, have you tried meditating before?"
"Meditate ah, good for health one you know.","Meditating is good for health, you know."
"Last time I meditate, I fall asleep sia.","The last time I meditated, I fell asleep."
"My friend say meditate can help relax, really meh?","My friend says that meditating can help with relaxation, is that true?"
"Every morning I meditate for 30 minutes, quite shiok eh.","Every morning I meditate for 30 minutes, it's quite enjoyable."
"If you stress, go meditate lah, better than keep complaining.","If you're stressed, you should meditate instead of constantly complaining."
"I hear people say meditate can make you more focused, dunno true anot.","I've heard people say that meditation can improve your focus, but I'm not sure if it's true."
"Wah, that meditation class quite ex leh, worth it or not?","Wow, that meditation class is quite expensive, is it worth it?"
You meditate at home or go outside one?,Do you meditate at home or do you go somewhere else to do it?
"Meditate too long I start to get sian, how ah?","If I meditate for too long, I start to feel bored, what should I do?"
"Eh, later you want to chiong for the MRT or not?","Hey, do you want to rush for the MRT later?"
The bus today why so packed one?,Why is the bus so crowded today?
I every morning squeeze until like sardine on the train leh.,Every morning I'm packed like a sardine on the train.
"Wah, this bus driver drive so fast, like flying.","Wow, this bus driver is driving so fast, it's like flying."
"Oi, you tap your EZ-link card already anot?","Hey, have you tapped your EZ-link card yet?"
"The train breakdown again, sian half.","The train broke down again, it's so frustrating."
"If you not in a hurry, later we take the slow bus can?","If you're not in a hurry, can we take the slower bus later?"
"Eh, you know the bus fare how much ah?","Hey, do you know how much the bus fare is?"
"This morning the MRT so empty, shiok!","This morning the MRT was so empty, it was great!"
"Next time we carpool lah, save some money and eco-friendly some more.","Next time let's carpool, it saves money and is more eco-friendly."
"Eh, you already start doing laundry ah?","Hey, have you started doing the laundry?"
Later rain how? Better bring in the clothes fast.,What if it rains later? Better bring in the clothes quickly.
"Wah, the washing machine spoil again, sian.","Wow, the washing machine is broken again, that's frustrating."
"I think I put too much detergent, now the clothes all got so much bubbles.","I think I used too much detergent, now the clothes are all full of suds."
You hang the laundry already or not?,Have you hung the laundry yet?
"The laundry basket quite full leh, time to wash liao.","The laundry basket is quite full, it's time to wash."
"Eh, don't mix the white clothes with the colored ones leh.","Hey, don't mix the white clothes with the colored ones."
You check the pockets for tissue paper or not?,Did you check the pockets for tissue paper?
"Aiya, the clothes not dry yet, still damp leh.","Oh dear, the clothes aren't dry yet, they're still damp."
Next time remember to separate the laundry by fabric type hor.,"Next time, remember to sort the laundry by fabric type, okay?"
"Eh, you know how to iron clothes not?","Hey, do you know how to iron clothes?"
Later you help me iron the shirt can?,Can you help me iron the shirt later?
"Wah, this iron very good use leh.","Wow, this iron is very good to use."
"I always burn my clothes when I iron, sian.","I always burn my clothes when I iron, it's frustrating."
"My mother very pro at ironing, all the clothes so neat neat one.",My mother is very skilled at ironing; all the clothes are so neatly done.
"You iron until like that, later your boss scold you how?","If you iron it like that, what will you do if your boss scolds you?"
"Eh, don't iron so long on one spot, later the shirt spoil.","Hey, don't iron so long on one spot, you might damage the shirt."
"This shirt crumpled like siao, take forever to iron out the creases.",This shirt is extremely wrinkled; it will take forever to iron out the creases.
"I lazy to iron lah, usually just wear like that.","I'm too lazy to iron, I usually just wear the clothes as they are."
You got see the ironing board or not? I put here now cannot find leh.,"Have you seen the ironing board? I placed it here, but now I can't find it."
"Eh, you dust your room already not?","Hey, have you dusted your room yet?"
"Wah, so much dust, how long never clean ah?","Wow, there's so much dust. How long has it been since you last cleaned?"
Later you help me dust the shelves can?,Can you help me dust the shelves later?
"My mother always nag, say I never dust my table.","My mother always nags, saying I never dust my table."
You think dusting the house easy meh?,Do you think dusting the house is easy?
"I every week must dust the living room, if not my father sure complain one.","I have to dust the living room every week, otherwise my father will surely complain."
"Eh, don't forget to dust the corner there, got spider web leh.","Hey, don't forget to dust that corner, there are spider webs."
"Last time I dust until sneeze non-stop, siao liao.","The last time I dusted, I couldn't stop sneezing. It was crazy."
"If you lazy to dust, later your room become dustbin how?","If you're too lazy to dust, what if your room turns into a dustbin?"
"Aiya, dusting is so mafan, but also must do lor.","Ugh, dusting is such a hassle, but it still needs to be done."
"Eh, you vacuumed the living room already ah?","Hey, have you vacuumed the living room yet?"
Can help me vacuum my room or not?,Can you help me vacuum my room?
"The vacuum cleaner spoil already, how?","The vacuum cleaner is broken, what should we do?"
Later you free to vacuum the house?,Are you free to vacuum the house later?
"I think the vacuum bag full liao, need to change leh.","I think the vacuum bag is full, it needs to be changed."
"Wah, after vacuuming, the floor so clean sia!","Wow, the floor is so clean after vacuuming!"
"Eh, don't forget to vacuum under the sofa hor.","Hey, don't forget to vacuum under the sofa, okay?"
You know where is the vacuum cleaner bag I bought last time?,Do you know where the vacuum cleaner bags I bought last time are?
"The vacuum cleaner very loud one, wait till afternoon then use, can?","The vacuum cleaner is very loud, can we wait until the afternoon to use it?"
"Last time I vacuum, now your turn already.","I vacuumed last time, now it's your turn."
"Eh, you see the wall color not bad hor?","Hey, do you see that the wall color is quite nice, isn't it?"
I think the blue one can match our sofa leh.,I think the blue one would match our sofa.
"Last time I paint myself, but now very lazy liao.","I used to paint by myself, but now I've become very lazy."
"If you want to paint, better check the weather, later rain how?","If you're planning to paint, you should check the weather forecast first; what if it rains?"
"This paint quite cheap one, but don't know good anot.","This paint is quite cheap, but I'm not sure if it's good."
"My neighbour say he got lobang for cheaper paint, you want?","My neighbour mentioned he knows a place to get cheaper paint, are you interested?"
"Eh, help me see the paint dry already or not.","Hey, can you check if the paint has dried yet?"
You all want glossy or matte finish for the room?,Do you all prefer a glossy or matte finish for the room?
"I scared the paint smell very strong, better open window.",I'm worried that the paint smell might be very strong; it's better to open the window.
"Tomorrow I free, can help you paint if you want.","I'm free tomorrow, so I can help you with the painting if you'd like."
"Eh, you see my drawing not bad right?","Hey, you see my drawing, it's quite good, isn't it?"
"I think I need to practice more, my lines still not very steady leh.","I think I need to practice more, my lines are still not very steady."
"Last time I draw one portrait, my friend say look like cartoon sia.",I once drew a portrait and my friend said it looked like a cartoon.
"Wah, your shading technique quite solid hor.","Wow, your shading technique is quite impressive."
"I go art class also no use, my drawing still like kindergarten one.","Even after attending art classes, my drawing still looks like a kindergartener's."
"Next time we go museum together, can get some inspiration for our drawings.","Next time, let's go to the museum together to get some inspiration for our drawings."
"Eh, help me see, I draw this proportion correct anot?","Hey, can you help me check if I got the proportions right in this drawing?"
"I like to draw at the kopitiam, got a lot of interesting things to see there.",I like to draw at the coffee shop because there are a lot of interesting things to observe there.
"My brother say he don't like drawing, say very sian one.",My brother says he doesn't like drawing; he finds it very tedious.
You think I can join the drawing competition not?,Do you think I can participate in the drawing competition?
"Eh, you go NTUC later, can help me buy potatoes or not?","Hey, if you're going to NTUC later, could you help me buy some potatoes?"
The fish at the wet market today fresh or not?,Is the fish at the wet market fresh today?
"Last time the tomatoes here cheaper leh, now why so expensive?","The tomatoes used to be cheaper here, why are they so expensive now?"
"Auntie, this kailan how much per kilo?","Ma'am, how much is this Chinese kale per kilogram?"
"Wah, the queue at the cashier so long, sian.","Wow, the line at the cashier is so long, it's tiresome."
"Eh, don't forget to use your reusable bags hor.","Hey, don't forget to use your reusable bags, okay?"
This brand of rice any good anot?,Is this brand of rice any good?
I think the supermarket got promotion for detergent now.,I think the supermarket has a promotion for detergent right now.
You all want to eat what tonight? I go market now can buy.,What do you all want to eat tonight? I can buy it now while I'm at the market.
"Aiya, forgot to bring my member card, cannot get discount liao.","Oh no, I forgot to bring my membership card, I can't get the discount now."
"Eh, you know where got good sewing machine not?","Hey, do you know where I can find a good sewing machine?"
"Last time my ah ma always say, sewing must be patient one.",My grandmother always used to say that you must be patient when sewing.
"Wah, this fabric quite nice hor, but how much ah?","Wow, this fabric is quite nice, isn't it? But how much does it cost?"
"I think I need to alter my pants, too long already.",I think I need to alter my pants; they are too long.
You go spotlight check out their sewing kits not yet?,Have you checked out the sewing kits at Spotlight yet?
"My sewing machine spoil liao, need to go fix.",My sewing machine is broken; I need to get it fixed.
"Eh, you know how to sew button or not?","Hey, do you know how to sew on a button?"
"If you want sew properly, you must learn how to thread the needle first lor.","If you want to sew properly, you must first learn how to thread the needle."
"This pattern quite complicated leh, you sure you can sew or not?",This pattern is quite complicated; are you sure you can sew it?
"I go this shop before, their sewing materials quite good one.",I've been to this shop before; their sewing materials are quite good.
"Eh, later I want to go take a short nap, can?","Hey, I would like to take a short nap later, is that okay?"
"I so sleepy already, need to power nap a bit.","I'm very sleepy, I need to take a power nap."
You think after lunch we can go snooze for a while not?,Do you think we can take a nap after lunch?
"Wah, the weather so good for napping sia.","Wow, the weather is so perfect for taking a nap."
"Just now I nap until I overslept, now headache sia.","I napped and overslept just now, now I have a headache."
"Eh, don't disturb me, I trying to catch some sleep leh.","Hey, don't disturb me, I'm trying to get some sleep."
"I tell you ah, nothing beats a good nap in the afternoon.","I'm telling you, there's nothing better than a good nap in the afternoon."
"Last night I never sleep well, so I must nap later.","I didn't sleep well last night, so I must take a nap later."
You nap already or not? Later still got a lot of things to do leh.,Have you taken a nap yet? We still have a lot to do later.
My mother always say afternoon nap is good for health one.,My mother always says that an afternoon nap is good for health.
"Eh, you want jog together or not?","Hey, do you want to jog together?"
"Jogging at East Coast Park quite shiok, you know?","Jogging at East Coast Park is quite enjoyable, you know?"
I every morning jog one round around the neighbourhood then start my day lor.,I jog one round around the neighborhood every morning before I start my day.
"Wah, yesterday I jog until sibei tired leh.","Wow, I was extremely tired from jogging yesterday."
You jog how long already ah?,How long have you been jogging?
"Jogging can help to lose weight, but must eat less and eat healthy lah.","Jogging can help to lose weight, but you must also eat less and eat healthily."
"If rain, we jog indoor at the gym can already.","If it rains, we can jog indoors at the gym."
"Tomorrow I cannot jog with you, got something on.","I can't jog with you tomorrow, I have something on."
"Eh, you jog until so fast, wait for me leh!","Hey, you're jogging so fast, wait for me!"
"Last time I also like to jog one, but now very busy with work already.","I used to enjoy jogging, but now I'm very busy with work."
"Eh, later we go biking together can?","Hey, can we go biking together later?"
"Wah, your new bike is shiok man!","Wow, your new bike is awesome!"
I think the park connector quite safe for biking one.,I think the park connector is quite safe for biking.
Last time I bike until so shagged out leh.,Last time I was so exhausted from biking.
You know where got sell cheap and good bike not?,Do you know where to buy a good and inexpensive bike?
"My bike tire kena puncture, need to go fix already.","My bike tire got punctured, I need to get it fixed."
"Eh, you wear helmet when biking anot?","Hey, do you wear a helmet when biking?"
If rain how? Still continue biking?,What if it rains? Will we still continue biking?
This weekend you free to go biking at East Coast Park?,Are you free to go biking at East Coast Park this weekend?
"My brother just learn biking, but he still quite jelly.","My brother just learned to bike, but he's still quite unsteady."
"Eh, you want go swimming later not?","Hey, do you want to go swimming later?"
The swimming pool today quite crowded hor?,"The swimming pool is quite crowded today, isn't it?"
"Last time I swim, I can do many laps leh.","The last time I swam, I was able to do many laps."
You know how to swim or not?,Do you know how to swim?
"Swimming is good for health, they say lor.",They say that swimming is good for health.
I think the swimming coach quite pro one.,I think the swimming coach is quite professional.
"Wah, the water so cold, shiok!","Wow, the water is so cold, it's refreshing!"
"You swim until so late, not tired meh?","You swam until so late, aren't you tired?"
"Tomorrow I cannot go swimming, got something on.","I can't go swimming tomorrow, I have something else planned."
"Eh, don't forget to bring your swimming goggles ah.","Hey, don't forget to bring your swimming goggles."
"Eh, later you want to play basketball not?","Hey, do you want to play basketball later?"
"We go jog at East Coast Park, can or not?","Shall we go for a jog at East Coast Park, is that okay?"
