" singlish"," english"
"Okay lah, we meet at six at Orchard Road, don't be late.","Okay, we meet at six at Orchard Road, don't be late."
"That movie plot so predictable, you bo jio me somemore — really damn pek chek sia!","That movie's plot was so predictable, and you didn't even invite me - I'm really annoyed!"
"Wah, you makeover look chio sia! ","Wow, your makeover looks gorgeous!"
"He break promise again, confirm broken trust lor.","He broke his promise again, the trust is definitely broken."
"I kena lost my wallet credit cards all gone, sian to the max.","I lost my wallet and all my credit cards are gone, I'm extremely frustrated."
"Today didn't rain but air so humid, can't breathe leh.","Today didn't rain but the air is so humid, can't breathe."
"Wah lau, the queue for that new cafe damn long sia.","Wow my gosh, the queue for that new cafe is really long."
"She kena cut from team project, feel very left out lah.",She got dropped from the team project and feels very left out.
"I heard there's big review coming, so kena stress one.",I heard there's a big review coming and so I got stressed.
"We celebrate his birthday last night, everyone was so onz.","We celebrated his birthday last night, everyone was super enthusiastic."
"My friend cancel last minute again, quite frustrating leh.","My friend cancelled last minute again, its quite frustrating."
"Lepak at the kopitiam with old friends, nothing much but nice lah.","Relaxed at the coffee shop with old friends, nothing much but was still nice."
"Then hor, I get email saying I got scholarship, shocked sia.","Then, I got an email saying I got the scholarship, was really shocked."
The slump at work last week made me feel very unmotivated lor.,The slump at work last week made me feel very unmotivated.
"She so brave one, still go jungle trekking even though weather damn bad.","She's so brave, still went jungle trekking even though weather is really bad."
"He keep whispering about budget cuts, I worry what's next.","He keeps whispering about budget cuts, I worry what's next."
"My pet hamster died liao, so sian, whole day no cheer.","My pet hamster died and I am so sad, whole day there is no cheer."
"Wah piang, car broke down in expressway, today totally jialat.","My goodness, car broke down on the expressway, today was really bad."
"We just got free upgrade in hotel, damn atas! ","We just got a free upgrade in the hotel, it was so fancy!"
"I wake up early, meditate hor, feel calm one.",I woke up early and meditated which really made me feel calm.
"Aiyah, missed the last train leh… now must walk home one.","Oh no, I missed the last train… now I must walk home."
"Wah bro, your new haircut damn fresh sia!","Wow bro, your new haircut looks really good!"
"She keep meh-meh doing nothing, then boss kena sian liao.","She keeps doing nothing, which then got the boss annoyed."
"Huh? You win lucky draw actually meh? Confirm surprise! ",Huh? You actually won the lucky draw? Definitely surprised!
"This horror game got so many jump scares, I kena heart attack leh.","This horror game has so many jump scares, I'm afraid I'll have a heart attack."
"We just chill at home, watch Netflix, nothing big lah.","We just relaxed at home and watched Netflix, nothing major."
"The durian smell so strong at the lift lobby, confirm spoil mood one.","The durian smell at the lift lobby was so strong, definitely ruined the mood."
"Today my colleagues gave me surprise birthday cake. Shiok sia! ",Today my colleagues gave me a surprise birthday cake. It was amazing!
"I waited two hours already, nobody bother to call me… really damn sad leh.",I've been waiting for two hours and nobody bothered to call me… I feel really sad.
"Alamak, I left my house key inside and door lock behind me.","Oh no, I left my house key inside and locked the door behind me."
"Okay lah, we makan then go cinema later, onz? ","Okay then, we'll eat then go to the cinema later, alright?"
"Bro, your car still can drive meh? Look like got big problem leh, I scared something happen.","Bro, can your car still drive? It looks like it has a serious problem, I'm scared something might happen."
"Wah lau eh, his selfie game strong sia! ","Wow my gosh, his selfie game is strong!"
"She ghosted me after first date, feel so wasted leh.","She ghosted me after the first date, I feel so wasted."
"Cannot tahan the heat today, sun damn hot lah.","Can't bear the heat today, the sun is very hot."
"Wah really blur one, accidentally send the message to the wrong chat.","Really clueless, accidentally sent the message to the wrong chat."
"I got contract until next year only, feel quite safe lah.","I have a contract until next year only, feel quite secure."
"They announce redundancy tomorrow, I jialat already.","They announce layoffs tomorrow, I'm in serious trouble already."
"Last night makan at that new kopitiam, everything damn nice lor.","Last night ate at that new coffee shop, everything was really good."
"He talk cock during lunch and nobody scold, what kind of environment is this? ","He talks nonsense during lunch and nobody scolds him, what kind of environment is this?"
"Huh, you changed jobs so suddenly? Didn't expect that one leh.","Huh, you changed jobs so suddenly? Didn't expect that one."
"My grandma got admitted hospital yesterday, whole family worry liao.","My grandma got admitted to hospital yesterday, whole family is worried."
I afraid they will ask me to pay extra hidden cost later.,I'm afraid they will ask me to pay an extra hidden cost later.
"We just stay at the cafe, nothing much talk, just chill lah.","We just stayed at the cafe, nothing much to talk about, just chilled."
"Wah the new phone camera so sharp, porno not even need watermark leh. [Note: ""porno"" colloquial exaggeration]","Wow the new phone camera is so sharp, don't even need watermark."
"This queue move so slow one, confirm waste time lor.","This queue moves so slowly, definitely a waste of time."
"She never reply my text, feel quite ghosted already.","She never replied to my text, I feel quite ghosted."
"Alamak, the power trip just now, whole block dark we kena panic.","Oh no, the power trip just now, whole block is dark and we panicked."
"Okay lah, let's just drag and finish this task first.","Okay then, let's just slog and finish this task first."
"We got free tickets to concert, damn onz one! ","We got free tickets to the concert, really enthusiastic!"
"He never show up at our meet-up, so cham sia.","He never showed up at our meet-up, so lame."
"After breakup, I feel blur blur and cannot focus on anything.","After the breakup, I feel lost and cannot focus on anything."
"I fear the exam paper will be super tough, mah.",I fear the exam paper will be super tough.
"Just now the bug in the software crash entire system, surprise full one.","Just now the bug in the software crashed the entire system, totally surprising."
"We just take coffee, talk about nothing, nice and relaxing lah.","We just took coffee, talked about nothing, it was nice and relaxing."
"Wah, your promotion confirmed liao? So steady! ","Wow, your promotion confirmed already? Very solid!"
"That prank video on TikTok kena ban, I shocked one.","That prank video on TikTok got banned, I'm shocked."
"He kept hopping trains instead of waiting, very kiasu kind eh.","He kept switching trains instead of just waiting, he's really afraid of losing out."
"Wah, you really buy for me ah?! Steady sia!",You really bought this for me? That's awesome!
"I heard the monster story behind the lake, now cannot sleep leh.","I heard the ghost story behind the lake, now I can't sleep."
"Today our team win the inter-office quiz, lobang one! ","Today our team won the inter-office quiz, lucky one!"
"The coffee machine at pantry break again, of course we kena sian.","The coffee machine at the pantry broke again, of course we're annoyed."
"She casually mention she moving abroad, didn't expect one.","She casually mentioned she's moving abroad, didn't expect that."
"I just take leave to chill, nothing serious lah.","I just took leave to chill, nothing serious."
"He never call after telling he like me, now I feel very down lah.","He never called after saying he liked me, now I am feeling down."
I worry if my laptop battery will explode after so many years use.,I worry if my laptop battery will explode after so many years of use.
"We makan at hawker centre, price cheap and taste atas one.","We ate at a hawker centre, price is cheap and tastes high-end."
"The boss bring in surprise audit today, everyone kena stress.","The boss brought in a surprise audit today, everyone got stressed."
"Huh, you actually paid full price? I thought got discount meh.","Huh, you actually paid full price? I thought there was a discount."
"Traffic jam so bad this morning, but still manageable lah.","Traffic jam was very bad this morning, but still manageable."
"Wah, coffee place baru open near my office, lobang sia!","Wow, a new coffee place just opened near my office — lucky find!"
"Alamak, I kena sabo by my own friend, now whole team kena mess up leh.","Oh no, I got sabotaged by my friend, now the whole team messed up."
"Eh, you chill lah, no need so kiasu about the freebies man.","Hey, relax, no need to be so afraid of missing out about the freebies."
"I ghost my alarm and woke up so late, damn sian now.","I snoozed my alarm and woke up so late, so bummed out now."
"Wah lau, the queue at Marina Bay Sands so long until I almost faint lah.","Wow, the queue at Marina Bay Sands was so long I almost fainted."
"I takut the WiFi cut out during presentation, jialat leh.","I'm afraid the WiFi will cut out during the presentation, that would be disastrous."
"Went lepak with the gang, makan prata, talk cock, shiok one.","Went hang out with my friends, had prata, chatted nonsense, so good."
"She blur like sotong during the meeting, new boss ask same question twice.",She was totally clueless during the meeting; the new boss asked the same question twice.
That horror podcast on Reddit made me kena goose-bumps sia.,That horror podcast on Reddit gave me goose-bumps.
"He always wayang at work, act busy but actually do nothing one.","He always shows off at work, acts busy but actually does nothing."
"We scored free merch at the event, sibeh steady leh.",We scored free merchandise at the event — that was awesome.
"Got message from landlord last minute, ask for extra deposit. I sian big time.",Got a message from the landlord last minute asking for extra deposit. I'm very frustrated.
Huh? You actually sold your PS5 already meh? Didn't expect that.,Huh? You actually sold your PS5 already? Didn't see that coming.
"I worry I'll kena fined for wrong parking zone, cannot tahan lah.",I worry I'll be fined for parking in the wrong zone; can't bear it.
"Today nothing much happen, just steady go office and back home lor.","Today nothing much happened, just work then went back home."
"Wah the promotion email came, I so heng lah.","Wow the promotion email came, I'm so lucky."
"He makan my snack without asking, confirm act like small kid leh.","He ate my snack without asking, definitely acting like a kid."
"My flight delayed thrice, alamak I almost miss connection.",My flight was delayed three times; oh no I almost missed my connection.
"We watched the sunset at East Coast, horizon so beautiful, feel very calm lah.","We watched the sunset at East Coast, horizon was so beautiful; I feel very calm."
"She move back to kampung for family support, feel a bit ulu but understandable.","She moved back to the rural area for family support, feels a bit remote but understandable."
"My phone just died mid-call with client, I kena heart attack leh.",My phone died mid-call with the client; I nearly had a heart attack.
"Missed the sale by minutes, the discount all gone liao, so sian.","Missed the sale by minutes; the discount's all gone, so sad."
"His new car so atas, damn flashy lah! ","His new car is so high-end, its really flashy! "
"This assignment too mafan, boss keep changing scope non-stop.",This assignment is too troublesome; the boss keeps changing the scope nonstop.
"Huh, you actually know her from kindergarten? Didn't know that leh.","Huh, you actually know her from kindergarten? Didn't know that."
"I dread going for audit tomorrow, stomach all tied up one lah.",I dread going for the audit tomorrow; my stomach's all in knots.
"Our cafe order got wrong, drink cold, still pay full price — what the heck.",Our cafe order was wrong; drink's cold; still had to pay full price — what the heck.
"We just chill at home streaming and makan popcorn, nothing grand but nice.",We just relaxed at home streaming and eating popcorn; nothing grand but it was nice.
"Wah, this nasi lemak stall confirm win — flavour solid! ","Wow, this nasi lemak stall definitely a win — flavour was amazing! "
"He broke his leg playing futsal, now recovery long, feel quite down lah.",He broke his leg playing futsal; recovery will be long and he feels quite down.
"The thunder last night like bom drop, I actually got scared leh.",The thunder last night was like a bomb dropping; I actually got scared.
"We unexpectedly bumped into old teacher at mall, surprised full sia.",We unexpectedly bumped into our old teacher at the mall; totally surprised.
"Went to the kopitiam, order kopi-o then got charged extra sugar dose — confirm poke me lah.","Went to the coffee shop, ordered kopi-o then got charged extra sugar — definitely annoyed me."
"Today meeting ended early, I can go home soon — onz lah.",Today meeting ended early; I can go home soon — so good.
"My fridge spoiled again, freezer all chunked ice liao, so sian. ","My fridge broke down again; freezer all chunked ice now, I am so upset."
"Coach said must perform or risk drop out, I quite kiasu now.",Coach said we must perform or risk being dropped; I'm quite competitive now.
"That viral TikTok trend ended up embarrassing her, she so malu leh.",That viral TikTok trend ended up embarrassing her; she's so embarrassed.
"Saw a ghost-looking figure at corridor last night, confirm cannot sleep leh.",Saw a ghost-like figure in the corridor last night; definitely can't sleep.
"Its okay lah, just a normal Tuesday, nothing extra special.","It's okay; just a normal Tuesday, nothing extra special."
"Wah lau, the food court closed early unexpectedly — surprise one.","Wow, the food court closed early unexpectedly — what a surprise."
"We got upgrade to first class by chance, next time do this again! ",We got upgraded to first class by chance; hopefully it happens again
"My colleague keep act blur, I end up doing double work leh.",My colleague keeps acting clueless; I ended up doing double work.
"He leave Singapore soon, I already feel weird about missing him lah.",He's leaving Singapore soon; I already feel weird about missing him.
"I heard random siren in middle of night, I kena panic attack one.",I heard a random siren in the middle of the night; I had a panic attack.
"Surprised they gave me free coffee for no reason, lobang confirmed.",Surprised they gave me a free coffee for no reason; definitely lucky.
"The MRT schedule changed again, now very confusing lor.",The MRT schedule changed again; its very confusing now.
"Wah, this cake taste shiok deh, must go back next week.",Wow the cake tastes great; must visit again next week.
"Alamak, I deleted the folder by mistake — data all gone.","Oh no, I deleted the folder by mistake — data is all lost."
"The thunderstorm hit hard, windows shook, I quite kena shock leh.","The thunderstorm hit hard, windows shook; I got quite a shock."
He ghosted our group chat again — cannot tahan his behaviour lor.,He ghosted our group chat again — can't stand his behaviour.
"Aiyo, I overslept and reach work late again lah, boss kena stir.","Oh dear, I overslept and arrived at work late again; the boss got angry."
"Wah, the sunset from Mt Faber last night damn atas sia.","Wow, the sunset from Mt Faber last night was really high-class."
"She say she moving city, I kena wasabi lor.",She said she is moving city; I got shocked.
"My wallet stanby only $2 now, must eat grass for awhile lor.",My wallet has only $2 now; I'll have to scrimp for a while.
Huat ah! We finally hit our sales target this quarter.,Great! We finally hit our sales target this quarter.
"The humidity today like sauna one, cannot tahan.",The humidity today is like a sauna; can't stand it.
"We just sit in kopitiam, talk story until late, so steady lah.","We just sat in the coffee shop, chatted until late; it was good."
"Alamak, forgot to chope the seat and now cannot find place to sit.","Oh no, forgot to reserve the seat and now can't find a place to sit."
"I takut the data leak will expose our whole project, quite sian leh.",I'm afraid the data leak will expose our whole project; feeling so anxious.
Huh? You buy the new gadget already meh? Didn't expect so fast lor.,Huh? You bought the new gadget already? Didn't expect it this fast.
"My phone got stolen during bus ride, kena jialat big time.",My phone got stolen during the bus ride; in serious trouble.
"We just chill at East Coast, lim kopi and watch the waves.","We just relaxed at East Coast, drank coffee and watched the waves."
"That promotion email expired yesterday, wah sia, miss lobang already.","That promotion email expired yesterday; wow, missed the opportunity already."
"She always wayang in front of clients but never deliver, so sian lah.",She always pretends in front of clients but never delivers; very frustrated.
I so pai seh introduced myself wrong name during meeting.,I'm so embarrassed; I introduced myself with the wrong name during the meeting.
The film twist at end damn jio one - cannot see coming lah.,The film's twist at the end was really unexpected — did not see it coming.
"We got the free upgrade on flight, confirm atas and feel like VIP.",We got the free upgrade on the flight; definitely high-class and feel like VIP.
"My laptop fan noisy non-stop, worry spoil my semester grades.","My laptop fan is noisy nonstop, I'm worried it will ruin my semester grades."
"Just another normal Monday, woke up, work, home, nothing special lah.","Just another normal Monday: woke up, work, home; nothing special."
"That new cafe hype until entrance queue long long, but food ok only.","That new cafe is hyped such that the entrance queue was long, but the food was average."
I kena paiseh when my pants ripped during lunch.,I was very embarrassed when my pants ripped during lunch.
"Wah, the game update got so many bugs, I kena pek chek lah.","Wow, the game update has so many bugs; I'm very annoyed."
"Wah, the flash sale ended earlier than I thought, then confirm chiong to checkout.","Wow, the flash sale ended earlier than I thought; then I rushed to check out."
"My friend ghost me for party, I feel damn ulu after that.",My friend ghosted me for the party; I feel very lonely after that.
I fear I'll kena fine for missing deadline again this month.,I'm afraid I'll be fined for missing the deadline again this month.
"We makan supper at hawker centre, ikan bakar damn shiok.",We ate supper at the hawker centre; the grilled fish was so good.
"He blur blur and still ask question we already answered, cannot tahan lah.",He is clueless and still asks questions we already answered; can't stand it.
"Today I just wanna lie down and do nothing, bo bian lah.",Today I just want to lie down and do nothing; nothing I can do about it.
"Wah, the fireworks last night on National Day damn spectacular sia.","Wow, the fireworks last night on National Day were really spectacular."
"My car headlight spoilt while driving home, kena jialat in the storm.",My car's headlight broke while driving home; really troublesome during the storm.
"She dropped her phone in pool, then confirm splash everywhere, so sian.",She dropped her phone in the pool; definitely very upset.
"Huh, you transfer already? I thought we still pending one leh.","Huh, you transferred already? I thought we were still pending one."
"Got free coffee with work event today, so onz lah.",Got free coffee at the work event today; so awesome.
"This queue move fastest in my entire life, they really chiong ah.",This queue moved fastest in my entire life; they really rushed.
"My group project got rejected by prof, feel major ashai now.",My group project got rejected by the professor; feel really embarrassed now.
"I medo the ghost story my friend told me during camp, cannot sleep now leh.",I'm freaked out by the ghost story my friend told me during the camp; can't sleep now.
"We just makan at 1-for-1 promotion, cheap and decent, happy lah.","We just ate at a 1-for-1 promotion; cheap and decent, am so happy."
"The train come late again, confirm sian but still reach work.",The train arrived late again; definitely frustrated but still got to work.
"He keep flexing his new watch on IG, so kiasu lah.",He keeps showing off his new watch on IG; so competitive.
"Alamak, my presentation file corrupted half-way during meeting.","Oh no, my presentation file got corrupted halfway during the meeting."
"The showroom demo so atas, but price way beyond budget one leh.","The showroom demonstration was very high-class, but the price was way beyond budget."
"Went lepak at rooftop bar, view crazy nice, feel so on cloud nine.",Went to hang out at the rooftop bar; the view was extremely nice; feel so happy.
"My neighbour throw party tonite, music damn loud and I kena headache.",My neighbour was throwing a party tonight; music was very loud and I got a headache.
"She found out the truth about him, double confirm he not trust-worthy.",She found out the truth about him; definitely he's not trustworthy.
"I'm so relieved the bug got fixed before launch, big win for team.",I'm so relieved the bug got fixed before launch; a big win for the team.
"My wallet accidentally left in taxi, I jialat and now everywhere check.",I left my wallet in a taxi by accident; I'm in trouble and checking everywhere.
"We zero budget for this trip, but still had fun, can onz one.",We had zero budget for this trip but still had fun; can go for it.
"The deadline got shorten without warning, then I kena scramble whole weekend.",The deadline got shortened without warning; I had to scramble the whole weekend.
"Huh, you still single ah? I thought you meet someone already leh.","Huh, you are still single? I thought you had already met someone."
"Just chill at Sentosa, drink coconut, nothing big but my mind clear.","Just relax at Sentosa, drink coconut, nothing grand but my mind's clear."
"Alamak, the food delivery came late and now cold already lor.","Oh no, the food delivery came late and is cold already."
"Wah, the buffet today got so many choices — makan like king lah.","Wow, the buffet today had so many choices — ate like a king."
"I saw my ex at the mall, then cover eyes and walk fast one leh.","I saw my ex at the mall, then I covered my eyes and walked quickly."
"My laptop just overheated and died during presentation, I kena sian big time.",My laptop overheated and died during the presentation; I got really upset.
"We just sit by the pool, watch clouds pass, feel super chill lah.",We just sat by the pool and watched clouds pass; feel super relaxed.
"She didn't pick up my calls since last week, now I feel ulu and out of place.",She hasn't picked up my calls since last week; now I feel lonely and out of place.
"Huh? You actually transferred out of the company already meh? ","Huh? You actually left the company already? "
"I takut the taxi driver zai turn wrong expressway, then we kena jam.",I'm afraid the taxi driver will take the wrong expressway and we will get stuck in traffic.
"Just another day, wake up, go office, nothing much to shout about lah.","Just another day: woke up, went to office, nothing much to say."
The gym membership fee kena hike again — confirm cannot tahan.,The gym membership fee was increased again — definitely can't bear it.
"Wah, the weekend stay-cation was power—pool, spa, views, so onz.","Wow, the weekend stay-cation was great—pool, spa, views, so all-in."
"My project failed last night, I feel damn down lah, like wasted time.","My project failed last night; I feel really down, like my time was wasted."
"Alamak, car park full when reach, then kena walk far in the rain.","Oh no, the car park was full when I arrived, then had to walk far in the rain."
"The sudden fire alarm went off during movie, we all kena shock one.",The sudden fire alarm went off during the movie; we all got quite a shock.
I worry my dog swallow the pill by mistake — got heart palpitations leh.,I worry my dog will swallow the pill by mistake; got heart palpitations.
"We chill downtown, kopi and prata, talk until late, everything so steady lah.",We chilled downtown; had coffee and prata; talked until late; everything so good.
"He keep acting blur in Zoom calls, I end up doing his workload also.",He keeps acting clueless in Zoom calls; I end up doing his workload too.
She move to another country for studies — so proud yet feel a bit left behind lor.,She moved to another country to study — so proud but I feel a bit left behind.
"My phone ping all night from spam calls, now cannot sleep leh.",My phone pinged all night from spam calls; now I can't sleep.
"Okay lah, we meet around seven, coffee then procrastinate until later.","Alright then, we'll meet around seven; coffee then procrastinate until later."
Wah bravo! You hit the jackpot in 4D — sibeh onz leh.,"Wow, bravo! You hit the lottery — super awesome."
"The weather today change so sudden, umbrella left in car then kena downpour.",The weather changed so suddenly and I left my umbrella in the car then got soaked by downpour.
"My phone screen crack after one week, feel sian that I just bought new one.",My phone screen cracked after one week; feel upset as I just bought it.
I takut I'll kena infected by virus because labs so crowded.,I'm afraid I'll get infected by a virus because the labs are so crowded.
The MRT crowded like sardine can again today — boh suay.,The train was crowded like a sardine can again today — no luck.
"We attended the rooftop party, view stunning, drinks flowing — pure joy.","We attended the rooftop party; the view was stunning, drinks flowing — pure joy."
"Boss suddenly change target, we had to scramble last minute, confirmed stressed.",The boss suddenly changed the target; we had to scramble last minute; definitely stressed.
"After the breakup I feel lost one, cannot even recognise who I am now.",After the breakup I feel lost; can't even recognise who I am now.
"He got bit by stray dog, then kena jip (injury) and now worry of rabies.",He got bitten by a stray dog; then got injured and now am worried about rabies.
"We just wander Orchard Road, no plan, just absorb city vibes, very chill.",We just wandered Orchard Road; no plan; just absorbed city vibes; very relaxed.
Wah the cake from that patisserie damn atas and taste legendary.,Wow the cake from that patisserie is so high-end and tastes legendary.
"Alamak, forgot my umbrella and the sun burn me till I blistered.","Oh no, forgot my umbrella and got sun-burnt until I blistered."
"They upgraded system overnight without notice, now all workflow mess up, sian max.",They upgraded the system overnight without notice; now all workflow messed up; very frustrated.
"The charity event got huge turnout, so surprise to see all age groups come.",The charity event had a huge turnout; very surprising to see all age groups come.
"I'm takut heights, the rooftop edge made me knees weak leh.",I'm afraid of heights; the rooftop edge made my knees weak.
"Just normal dinner at home, nothing fancy but feel content lah.",Just a normal dinner at home; nothing fancy but feel content.
"Wah, we got front-row seats at concert last night — totally onz.","Wow, we got front-row seats at the concert last night — totally enthusiastic."
"He keep pretending to work but actually TikTok all day, I kena angsty.",He keeps pretending to work but actually TikToking all day; I'm annoyed.
"My friend move away, I'll miss all the mischief we used to do — so down.",My friend moved away; I'll miss all the mischief we used to do — feel so sad.
"I heard footsteps at the back door in the dead of night, confirm kena scare.",I heard footsteps at the back door late at night; definitely got scared.
"We arranged surprise party for her, she kena shock and cried happily.",We arranged a surprise party for her; she got shocked and cried happily.
"Traffic light changed too fast, the car in front braked hard — almost crash lor.",The traffic light changed too fast; the car in front braked hard — almost crashed.
"My team won inter-company hackathon, we all pumped up sia.",My team won the inter-company hackathon; we're all pumped up.
"The housing loan rate increased again, now many cousins kena stress.",The housing loan rate increased again; now many cousins are stressed.
"The sudden blackout in the estate last night, children cried and dogs barked, so creepy.",The sudden blackout in the estate last night; children cried and dogs barked; so creepy.
"We just met for kopi, talk until midnight, simple yet nice lah.",We just met for coffee; talked until midnight; simple yet nice.
"She outdid herself in the performance, crowd gave standing ovation — proud moment.",She outdid herself in the performance; crowd gave standing ovation — proud moment.
"My car GPS lost signal in tunnel, I kena lost and panic for minutes.",My car GPS lost signal in the tunnel; I got lost and panicked for minutes.
"He ghosted meeting without notice, team angry and morale dropped.",He skipped the meeting without notice; team is angry and morale dropped.
"This quiet Sunday afternoon, I sip kopi-o, watch rain, just content one lah.","This quiet Sunday afternoon; I'm sipping kopi-o, watching rain; just content."
"Wah, the new hawker stall just open, queue already until kacang puteh long one.","Wow, the new hawker stall just opened, the queue is already super long."
"I kena kena double-book meeting today, whole morning gone sia.",I got double—booked meetings today; the whole morning is gone.
"Just chill at home with Netflix and kopi, nothing much but feel content lah.",Just relaxing at home with Netflix and coffee; nothing much but I feel content.
"Alamak, my flight got cancelled last min, now stuck at Changi.","Oh no, my flight got cancelled at the last minute; now I'm stuck at Changi Airport."
"I takut taxi uncle drive like zai, I hold on tight leh.",I'm afraid the taxi driver drives recklessly; I hold on tight.
"Got lobang for free workshop tomorrow, must attend lah.",Got an opportunity for a free workshop tomorrow; must attend.
"He never reply my WhatsApp after our chat, now I feel quite ulu.",He never replied to my WhatsApp after our chat; now I feel quite isolated.
"Today weather so hot, sweat already before lunchtime lor.",Today the weather is so hot; I was sweating before lunchtime.
"Wah lau, the makan place confirm atas but price also atas one.","Wow, the restaurant is definitely high-end but the price is also high."
"We thought the movie will be shiok, but ended up quite meh.","We thought the movie would be great, but it ended up quite average."
I worry the report missing some data; boss will sure kena ang moh one.,I worry the report is missing some data; the boss will surely get angry.
"Lepak with old friends at kopitiam, talk until late, feel very steady lah.","Hanging out with old friends at the coffee shop, talked until late; felt really good."
"The app crashed during my payment, then I kena sian finding support.",The app crashed during my payment; then I had to go through frustrating support.
Huh? You already move house? Didn't even tell me one leh.,Huh? You already moved house? Didn't even tell me.
"My bike tyre flat in the ulu area, then I wait so long for help.",My bike tyre went flat in a remote area; then I waited so long for help.
"Yi-lo, this deal too good to be true — must double check lah.","Wow, this deal is too good to be true — must double check."
"We won the internal quiz today, everyone cheer like crazy sia! ","We won the internal quiz today; everyone cheered like crazy! "
"The new system update caused so many bugs, confirm team kena sian.",The new system update caused so many bugs; definitely the team is frustrated.
"I nearly miss the bus, bus door about to close, kena heart-attack moment.",I nearly missed the bus; the bus door was about to close; had a heart-attack moment.
"She found old letters from him, then feel quite nostalgic lah.",She found old letters from him; then feels quite nostalgic.
"Okay lah, we just walk around Marina Bay, enjoy view, nothing grand.","Alright, let's just walk around Marina Bay, enjoy the view; nothing grand."
"Wah, the cupcake so cute and taste damn good, must go again.","Wow, the cupcake is so cute and tastes really good; must return again."
"My phone glitched mid-video call, boss scold me until I feel so sad.","My phone glitched in the middle of a video call, and the boss scolded me — I feel really sad."
"Alamak, the weather shift so fast, umbrella left in car again.","Oh no, the weather changed so fast; I left my umbrella in the car again."
"He keeps taking credit for my work, I cannot tahan this privilage already.",He keeps taking credit for my work; I cannot tolerate this anymore.
"Going stay-cation tomorrow, so ready to switch off and relax lah.",Going on a stay-cation tomorrow; ready to switch off and relax.
"My laptop memory full, keep warning pop-up now, feel sian.",My laptop memory is full; warning popups keep appearing; I feel frustrated.
"I'm scared the exam hall will turn into zoo again, cannot concentrate leh.",I'm afraid the exam hall will become chaotic again; can't concentrate.
"Just normal jog around neighbourhood, air fresh, mind clear one.",Just a normal jog around the neighbourhood; air is fresh; mind is clear.
"Wah, the band live performance last night damn shiok lah.","Wow, the band's live performance last night was really good."
"My refund got delayed, customer service play backyard pok pok, so angsty. ",My refund got delayed; customer service playing backyard steps; so frustrated.
"She moved out without telling, I felt abandoned and down lah.",She moved out without telling; I felt abandoned and down.
"I saw strange shadow by stairs, then heart jump one leh.",I saw a strange shadow by the stairs; then my heart jumped.
"We just pop by hawker centre, makan char kway teow, no fuss but satisfy.",We just popped by the hawker centre; ate char kway teow; no fuss but was satisfying.
"The surprise party they threw for me damn atas, I feel so touched.",The surprise party they organised for me was really high-class; I feel so touched.
